antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'rolls/buns'}),frozenset({'seasonal products'}),0.11000467820624206,0.007084140880839404,0.0010024727661565194,0.00911300121506683,1.2863946903872168,0.00022318412819209666,1.002047519380833,0.250151435508498
frozenset({'seasonal products'}),frozenset({'rolls/buns'}),0.007084140880839404,0.11000467820624206,0.0010024727661565194,0.14150943396226415,1.2863946903872165,0.00022318412819209666,1.0366978473641575,0.22422202777590816
frozenset({'rolls/buns'}),frozenset({'shopping bags'}),0.11000467820624206,0.04758404063356279,0.004745037759807526,0.04313487241798299,0.9064987303234263,-0.0004894293178402953,0.9953502661061305,-0.1038578845705467
frozenset({'shopping bags'}),frozenset({'rolls/buns'}),0.04758404063356279,0.11000467820624206,0.004745037759807526,0.09971910112359551,0.9064987303234263,-0.0004894293178402953,0.988575146828636,-0.0977162475477081
frozenset({'soda'}),frozenset({'rolls/buns'}),0.09710619528169484,0.11000467820624206,0.008086613646995923,0.08327598072952512,0.7570221747605617,-0.0025955221167994185,0.9708432451699177,-0.2622567215371249
frozenset({'rolls/buns'}),frozenset({'soda'}),0.11000467820624206,0.09710619528169484,0.008086613646995923,0.07351154313487242,0.7570221747605617,-0.0025955221167994185,0.9745332475844789,-0.26505013518986775
frozenset({'rolls/buns'}),frozenset({'soft cheese'}),0.11000467820624206,0.010024727661565194,0.0010024727661565194,0.00911300121506683,0.9090522478736331,-0.00010029417435917327,0.9990798885769858,-0.10105305791818552
frozenset({'soft cheese'}),frozenset({'rolls/buns'}),0.010024727661565194,0.11000467820624206,0.0010024727661565194,0.1,0.9090522478736331,-0.00010029417435917327,0.9888836908819533,-0.09178418148375231
frozenset({'rolls/buns'}),frozenset({'specialty bar'}),0.11000467820624206,0.013967787208447505,0.0012029673193878234,0.010935601458080195,0.7829158115658084,-0.0003335546177307084,0.9969342888543583,-0.2375423842028588
frozenset({'specialty bar'}),frozenset({'rolls/buns'}),0.013967787208447505,0.11000467820624206,0.0012029673193878234,0.0861244019138756,0.7829158115658085,-0.0003335546177307084,0.9738692264654211,-0.21948438216380792
frozenset({'rolls/buns'}),frozenset({'specialty chocolate'}),0.11000467820624206,0.015972732740760543,0.0012697988371315912,0.011543134872417983,0.7226775192300848,-0.000487276488090079,0.9955186735763418,-0.3012730586545896
frozenset({'specialty chocolate'}),frozenset({'rolls/buns'}),0.015972732740760543,0.11000467820624206,0.0012697988371315912,0.0794979079497908,0.7226775192300848,-0.000487276488090079,0.9668585541304916,-0.2805610346326246
frozenset({'rolls/buns'}),frozenset({'tropical fruit'}),0.11000467820624206,0.0677671589921807,0.006081668114682885,0.05528554070473877,0.815816119886594,-0.0013730364032031967,0.9867879461729072,-0.202342854209094
frozenset({'tropical fruit'}),frozenset({'rolls/buns'}),0.0677671589921807,0.11000467820624206,0.006081668114682885,0.08974358974358976,0.815816119886594,-0.0013730364032031967,0.9777413394353961,-0.19496248660235785
frozenset({'rolls/buns'}),frozenset({'waffles'}),0.11000467820624206,0.018512330415023724,0.001603956425850431,0.014580801944106925,0.7876264963526063,-0.00043248652430188115,0.9960102984814247,-0.23251960676018987
frozenset({'waffles'}),frozenset({'rolls/buns'}),0.018512330415023724,0.11000467820624206,0.001603956425850431,0.08664259927797834,0.7876264963526063,-0.00043248652430188115,0.9744217554817034,-0.21551589827596174
frozenset({'rolls/buns'}),frozenset({'whipped/sour cream'}),0.11000467820624206,0.043707812604424245,0.0029405867807257902,0.026731470230862697,0.6115947845021384,-0.00186747707992263,0.9825573910443931,-0.4164213294026254
frozenset({'whipped/sour cream'}),frozenset({'rolls/buns'}),0.043707812604424245,0.11000467820624206,0.0029405867807257902,0.0672782874617737,0.6115947845021384,-0.00186747707992263,0.9541917056608487,-0.39907302416322105
frozenset({'white bread'}),frozenset({'rolls/buns'}),0.023992514870012697,0.11000467820624206,0.002138608567800575,0.08913649025069639,0.8102972682996173,-0.0005006803098336495,0.9770896652108841,-0.19346387631897768
frozenset({'rolls/buns'}),frozenset({'white bread'}),0.11000467820624206,0.023992514870012697,0.002138608567800575,0.019441069258809236,0.8102972682996173,-0.0005006803098336495,0.9953583150706067,-0.208266913395833
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.11000467820624206,0.15792287642852368,0.013967787208447505,0.12697448359659783,0.8040284376030019,-0.0034044679944763706,0.9645504143344816,-0.2149864447279974
frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.15792287642852368,0.11000467820624206,0.013967787208447505,0.0884468895471858,0.8040284376030019,-0.0034044679944763706,0.9763504853289926,-0.22447403737331859
frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.11000467820624206,0.08587850030074183,0.007819287576020852,0.07108140947752127,0.8276973774413625,-0.0016277492143969147,0.9840706268835703,-0.18956238868822703
frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.08587850030074183,0.11000467820624206,0.007819287576020852,0.09105058365758756,0.8276973774413625,-0.0016277492143969147,0.9791472504323451,-0.18548732291139133
frozenset({'root vegetables'}),frozenset({'salty snack'}),0.06957160997126245,0.018779656485998796,0.0010693042839002875,0.015369836695485112,0.8184301298026467,-0.00023722665253790988,0.9965369537542198,-0.19253257934134438
frozenset({'salty snack'}),frozenset({'root vegetables'}),0.018779656485998796,0.06957160997126245,0.0010693042839002875,0.05693950177935944,0.8184301298026467,-0.00023722665253790988,0.9866051984833029,-0.18440413158579974
frozenset({'root vegetables'}),frozenset({'sausage'}),0.06957160997126245,0.06034886052262247,0.003341575887188398,0.04803073967339097,0.7958847815425792,-0.0008569914993016106,0.9870603796124622,-0.21607976819115007
frozenset({'sausage'}),frozenset({'root vegetables'}),0.06034886052262247,0.06957160997126245,0.003341575887188398,0.05537098560354374,0.7958847815425791,-0.0008569914993016106,0.9849669826447245,-0.21441366540280027
frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.06957160997126245,0.04758404063356279,0.003341575887188398,0.04803073967339097,1.0093875810856028,3.107757137346375e-05,1.0004692368319488,0.009995690274385877
frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.04758404063356279,0.06957160997126245,0.003341575887188398,0.0702247191011236,1.0093875810856026,3.107757137346375e-05,1.0007024376139897,0.009764928776927946
frozenset({'root vegetables'}),frozenset({'sliced cheese'}),0.06957160997126245,0.014034618726191272,0.0012029673193878234,0.01729106628242075,1.2320296418279129,0.00022655629927386789,1.0033137457536998,0.20241344634391603
frozenset({'sliced cheese'}),frozenset({'root vegetables'}),0.014034618726191272,0.06957160997126245,0.0012029673193878234,0.08571428571428572,1.2320296418279126,0.00022655629927386789,1.0176560515939317,0.19101199755981826
frozenset({'soda'}),frozenset({'root vegetables'}),0.09710619528169484,0.06957160997126245,0.005279689901757669,0.05437026841018583,0.7815007936807017,-0.0014761444421736505,0.9839246366169984,-0.23644248833512424
frozenset({'root vegetables'}),frozenset({'soda'}),0.06957160997126245,0.09710619528169484,0.005279689901757669,0.07588856868395773,0.7815007936807017,-0.0014761444421736505,0.9770399695548396,-0.2310621155618198
frozenset({'root vegetables'}),frozenset({'tropical fruit'}),0.06957160997126245,0.0677671589921807,0.0036757334759072377,0.05283381364073006,0.7796374294933373,-0.0010389368783572895,0.9842336587110952,-0.23300067413321796
frozenset({'tropical fruit'}),frozenset({'root vegetables'}),0.0677671589921807,0.06957160997126245,0.0036757334759072377,0.054240631163708086,0.7796374294933373,-0.0010389368783572895,0.9837897679761625,-0.23265460030165913
frozenset({'root vegetables'}),frozenset({'waffles'}),0.06957160997126245,0.018512330415023724,0.0013366303548753592,0.019212295869356386,1.0378107692894571,4.86977235821895e-05,1.0007136768246427,0.03915744864243639
frozenset({'waffles'}),frozenset({'root vegetables'}),0.018512330415023724,0.06957160997126245,0.0013366303548753592,0.07220216606498195,1.0378107692894571,4.86977235821895e-05,1.0028352686301958,0.03712038676290341
frozenset({'root vegetables'}),frozenset({'whipped/sour cream'}),0.06957160997126245,0.043707812604424245,0.0024727661565194146,0.03554274735830931,0.8131897992696976,-0.0005680567346926179,0.9915340309549745,-0.19801275733811619
frozenset({'whipped/sour cream'}),frozenset({'root vegetables'}),0.043707812604424245,0.06957160997126245,0.0024727661565194146,0.05657492354740061,0.8131897992696977,-0.0005680567346926179,0.9862239336771383,-0.19369464039865003
frozenset({'white bread'}),frozenset({'root vegetables'}),0.023992514870012697,0.06957160997126245,0.0012697988371315912,0.052924791086350974,0.7607239664025645,-0.0003993990496346468,0.982422917706814,-0.24372441386979493
frozenset({'root vegetables'}),frozenset({'white bread'}),0.06957160997126245,0.023992514870012697,0.0012697988371315912,0.018251681075888565,0.7607239664025643,-0.0003993990496346468,0.9941524383760438,-0.2526473413572923
frozenset({'root vegetables'}),frozenset({'whole milk'}),0.06957160997126245,0.15792287642852368,0.00755196150504578,0.10854947166186359,0.6873574881406962,-0.0034349872593793457,0.9446145319373996,-0.3283441135660155
frozenset({'whole milk'}),frozenset({'root vegetables'}),0.15792287642852368,0.06957160997126245,0.00755196150504578,0.04782056707575117,0.6873574881406962,-0.0034349872593793457,0.9771565713946253,-0.3507121280663095
frozenset({'root vegetables'}),frozenset({'yogurt'}),0.06957160997126245,0.08587850030074183,0.00427721713560115,0.06147934678194045,0.715887522099747,-0.0016974883922390056,0.9740025395976742,-0.2990045324339272
frozenset({'yogurt'}),frozenset({'root vegetables'}),0.08587850030074183,0.06957160997126245,0.00427721713560115,0.049805447470817124,0.7158875220997469,-0.0016974883922390056,0.9791977732898671,-0.3027237354085603
frozenset({'sausage'}),frozenset({'salty snack'}),0.06034886052262247,0.018779656485998796,0.0011361358016440553,0.018826135105204873,1.002474945121639,2.804931707751663e-06,1.0000473704211548,0.002627395197054756
frozenset({'salty snack'}),frozenset({'sausage'}),0.018779656485998796,0.06034886052262247,0.0011361358016440553,0.0604982206405694,1.0024749451216388,2.804931707751663e-06,1.0001589780043298,0.002516086123865268
frozenset({'soda'}),frozenset({'salty snack'}),0.09710619528169484,0.018779656485998796,0.001403461872619127,0.014452856159669649,0.7696017320894555,-0.00042015911743341914,0.9956097479929077,-0.24900735878024247
frozenset({'salty snack'}),frozenset({'soda'}),0.018779656485998796,0.09710619528169484,0.001403461872619127,0.07473309608540925,0.7696017320894554,-0.00042015911743341914,0.9758198427917067,-0.2337770134595121
frozenset({'salty snack'}),frozenset({'tropical fruit'}),0.018779656485998796,0.0677671589921807,0.0010024727661565194,0.053380782918149475,0.7877087325485904,-0.0002701712007486985,0.9848023621172829,-0.2154788240197491
frozenset({'tropical fruit'}),frozenset({'salty snack'}),0.0677671589921807,0.018779656485998796,0.0010024727661565194,0.014792899408284025,0.7877087325485903,-0.0002701712007486985,0.9959533817049021,-0.22426257952573725
frozenset({'salty snack'}),frozenset({'whole milk'}),0.018779656485998796,0.15792287642852368,0.0019381140145692708,0.10320284697508897,0.6535015655049752,-0.00102762335603924,0.9389828242999398,-0.35080368496647113
frozenset({'whole milk'}),frozenset({'salty snack'}),0.15792287642852368,0.018779656485998796,0.0019381140145692708,0.012272534913245875,0.6535015655049752,-0.00102762335603924,0.9934120273023072,-0.38637325433770614
frozenset({'salty snack'}),frozenset({'yogurt'}),0.018779656485998796,0.08587850030074183,0.0015371249081066632,0.0818505338078292,0.953096916238559,-7.56438270740126e-05,0.9956129512228356,-0.04775789432127715
frozenset({'yogurt'}),frozenset({'salty snack'}),0.08587850030074183,0.018779656485998796,0.0015371249081066632,0.017898832684824905,0.953096916238559,-7.56438270740126e-05,0.9991031231501518,-0.05108436642234472
frozenset({'sausage'}),frozenset({'shopping bags'}),0.06034886052262247,0.04758404063356279,0.0019381140145692708,0.03211517165005537,0.6749147660109248,-0.0009335286167284098,0.9840178619083442,-0.338888267350251
frozenset({'shopping bags'}),frozenset({'sausage'}),0.04758404063356279,0.06034886052262247,0.0019381140145692708,0.04073033707865169,0.6749147660109249,-0.0009335286167284098,0.9795484792209266,-0.33587181497955926
frozenset({'sausage'}),frozenset({'sliced cheese'}),0.06034886052262247,0.014034618726191272,0.0011361358016440553,0.018826135105204873,1.34140695037705,0.0002891625536489528,1.004883452923532,0.2708601790645134
frozenset({'sliced cheese'}),frozenset({'sausage'}),0.014034618726191272,0.06034886052262247,0.0011361358016440553,0.08095238095238094,1.3414069503770498,0.0002891625536489528,1.022418338291447,0.25813692927859133
frozenset({'soda'}),frozenset({'sausage'}),0.09710619528169484,0.06034886052262247,0.005948005079195348,0.06125258086717137,1.0149749363405152,8.775684425780649e-05,1.000962687434479,0.016340787930704752
frozenset({'sausage'}),frozenset({'soda'}),0.06034886052262247,0.09710619528169484,0.005948005079195348,0.09856035437430785,1.0149749363405152,8.775684425780649e-05,1.0016131519172353,0.015701567919190695
frozenset({'sausage'}),frozenset({'tropical fruit'}),0.06034886052262247,0.0677671589921807,0.0030742498162133263,0.05094130675526024,0.7517108214782634,-0.001015421009820168,0.9822710098367105,-0.260088044443224
frozenset({'tropical fruit'}),frozenset({'sausage'}),0.0677671589921807,0.06034886052262247,0.0030742498162133263,0.045364891518737675,0.7517108214782634,-0.001015421009820168,0.9843039828822943,-0.261616252281363
frozenset({'sausage'}),frozenset({'whipped/sour cream'}),0.06034886052262247,0.043707812604424245,0.002138608567800575,0.035437430786268,0.8107802398393397,-0.0004991081188127442,0.9914257694812916,-0.19895453881844363
frozenset({'whipped/sour cream'}),frozenset({'sausage'}),0.043707812604424245,0.06034886052262247,0.002138608567800575,0.0489296636085627,0.8107802398393396,-0.0004991081188127442,0.987993320286503,-0.19617157683705672
frozenset({'white bread'}),frozenset({'sausage'}),0.023992514870012697,0.06034886052262247,0.001403461872619127,0.0584958217270195,0.9692945520502688,-4.445906085821468e-05,0.9980318315750845,-0.031436530043772386
frozenset({'sausage'}),frozenset({'white bread'}),0.06034886052262247,0.023992514870012697,0.001403461872619127,0.02325581395348837,0.9692945520502687,-4.445906085821468e-05,0.9992457585854632,-0.0326131828815192
frozenset({'sausage'}),frozenset({'whole milk'}),0.06034886052262247,0.15792287642852368,0.008955423377664907,0.14839424141749724,0.9396627314134623,-0.0005750422652514124,0.9888109786541524,-0.06396454269627133
frozenset({'whole milk'}),frozenset({'sausage'}),0.15792287642852368,0.06034886052262247,0.008955423377664907,0.056707575116377494,0.9396627314134622,-0.0005750422652514124,0.9961398127344294,-0.07085117494622058
frozenset({'sausage'}),frozenset({'yogurt'}),0.06034886052262247,0.08587850030074183,0.005747510525964045,0.09523809523809523,1.1089864739670185,0.0005648408894225838,1.0103448154570749,0.10458748221906108
frozenset({'yogurt'}),frozenset({'sausage'}),0.08587850030074183,0.06034886052262247,0.005747510525964045,0.0669260700389105,1.1089864739670185,0.0005648408894225838,1.007048969331468,0.1075084076619388
frozenset({'semi-finished bread'}),frozenset({'whole milk'}),0.009490075519615051,0.15792287642852368,0.001670787943594199,0.176056338028169,1.1148247930239072,0.0001720879200126737,1.0220081328816208,0.10398488630996562
frozenset({'whole milk'}),frozenset({'semi-finished bread'}),0.15792287642852368,0.009490075519615051,0.001670787943594199,0.0105797714769361,1.1148247930239075,0.0001720879200126737,1.00110134796713,0.12231428571428575
frozenset({'soda'}),frozenset({'shopping bags'}),0.09710619528169484,0.04758404063356279,0.004410880171088686,0.04542326221610462,0.9545902704207492,-0.00020982497096616506,0.9977364015569093,-0.05004911371583076
frozenset({'shopping bags'}),frozenset({'soda'}),0.04758404063356279,0.09710619528169484,0.004410880171088686,0.09269662921348315,0.9545902704207492,-0.00020982497096616506,0.9951399209898348,-0.047570538629164834
frozenset({'shopping bags'}),frozenset({'tropical fruit'}),0.04758404063356279,0.0677671589921807,0.0027400922274944863,0.05758426966292135,0.8497371074618266,-0.0004845430196105502,0.9891949072989082,-0.15659462798942217
frozenset({'tropical fruit'}),frozenset({'shopping bags'}),0.0677671589921807,0.04758404063356279,0.0027400922274944863,0.04043392504930967,0.8497371074618267,-0.0004845430196105502,0.9925485948587537,-0.1594443807558561
frozenset({'shopping bags'}),frozenset({'whipped/sour cream'}),0.04758404063356279,0.043707812604424245,0.0012029673193878234,0.025280898876404497,0.5784068652716216,-0.0008768270115852475,0.9810951547920028,-0.4335250158999362
frozenset({'whipped/sour cream'}),frozenset({'shopping bags'}),0.043707812604424245,0.04758404063356279,0.0012029673193878234,0.027522935779816515,0.5784068652716216,-0.0008768270115852475,0.9793711280277515,-0.4325278269835812
frozenset({'shopping bags'}),frozenset({'whole milk'}),0.04758404063356279,0.15792287642852368,0.006348994185657956,0.13342696629213482,0.8448868796568826,-0.0011656143832860294,0.9717324343320763,-0.16161036303826556
